epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7416,0.6409,1.03989,0.94155,0.99996,1,0.995,0.94256,0.34185,0.36329,0.79996,0.0033298,0.0033298,0.0033298
2,78.4942,0.52784,0.47556,0.8838,0.99996,1,0.995,0.9324,0.33327,0.28632,0.80962,0.00653121,0.00653121,0.00653121
3,115.518,0.54233,0.4027,0.89563,0.99973,0.99788,0.995,0.92952,0.36359,0.30516,0.84197,0.00960061,0.00960061,0.00960061
4,152.134,0.51555,0.35943,0.89611,0.99931,1,0.995,0.95997,0.30007,0.26052,0.84446,0.009406,0.009406,0.009406
5,188.692,0.45362,0.31321,0.87826,0.99981,1,0.995,0.97048,0.26692,0.23471,0.82944,0.009208,0.009208,0.009208
6,225.237,0.42004,0.28932,0.87161,0.99993,1,0.995,0.97748,0.24498,0.20577,0.82634,0.00901,0.00901,0.00901
7,261.696,0.39325,0.27196,0.86473,1,0.99993,0.995,0.98111,0.23518,0.20431,0.8265,0.008812,0.008812,0.008812
8,298.192,0.37317,0.25744,0.85773,0.99988,1,0.995,0.98766,0.20502,0.17039,0.8136,0.008614,0.008614,0.008614
9,334.768,0.35574,0.24444,0.85263,0.99995,1,0.995,0.9862,0.20645,0.16406,0.80511,0.008416,0.008416,0.008416
10,371.36,0.33965,0.23578,0.84799,0.99997,1,0.995,0.98845,0.20232,0.15969,0.82028,0.008218,0.008218,0.008218
11,407.913,0.33025,0.23097,0.84704,0.99997,1,0.995,0.99176,0.17684,0.14519,0.80921,0.00802,0.00802,0.00802
12,444.465,0.32193,0.22453,0.84491,0.99997,1,0.995,0.99111,0.17818,0.1422,0.81107,0.007822,0.007822,0.007822
13,481.077,0.31043,0.21736,0.84108,0.99996,1,0.995,0.99341,0.16972,0.1385,0.8036,0.007624,0.007624,0.007624
14,517.687,0.30104,0.21008,0.83745,0.99996,1,0.995,0.99184,0.16871,0.13491,0.80952,0.007426,0.007426,0.007426
15,554.364,0.29319,0.20448,0.83554,0.99997,1,0.995,0.99329,0.16406,0.13124,0.8041,0.007228,0.007228,0.007228
16,590.838,0.28818,0.2014,0.83461,0.99995,1,0.995,0.99321,0.15448,0.12452,0.80232,0.00703,0.00703,0.00703
17,627.458,0.27987,0.19528,0.83251,0.99997,1,0.995,0.9939,0.14819,0.11769,0.79641,0.006832,0.006832,0.006832
18,663.945,0.27455,0.19261,0.82905,0.99996,1,0.995,0.99465,0.14403,0.11787,0.79691,0.006634,0.006634,0.006634
19,700.365,0.26802,0.18648,0.82694,0.99997,1,0.995,0.99405,0.14616,0.11558,0.79619,0.006436,0.006436,0.006436
20,736.851,0.26475,0.18448,0.82799,0.99996,1,0.995,0.99412,0.14076,0.12201,0.78767,0.006238,0.006238,0.006238
21,773.433,0.25956,0.18232,0.82616,0.99997,1,0.995,0.99453,0.13642,0.11139,0.79443,0.00604,0.00604,0.00604
22,810.052,0.25427,0.17866,0.82451,0.99996,1,0.995,0.99416,0.13336,0.10811,0.78877,0.005842,0.005842,0.005842
23,846.635,0.24989,0.17611,0.82421,0.99997,1,0.995,0.99393,0.13169,0.10455,0.79487,0.005644,0.005644,0.005644
24,883.188,0.24646,0.17289,0.82301,0.99997,1,0.995,0.99463,0.13086,0.10105,0.79594,0.005446,0.005446,0.005446
25,919.708,0.24259,0.17058,0.82247,0.99997,1,0.995,0.99486,0.12744,0.09982,0.78969,0.005248,0.005248,0.005248
26,956.21,0.23863,0.16776,0.82081,0.99988,1,0.995,0.9948,0.12489,0.09887,0.78884,0.00505,0.00505,0.00505
27,992.872,0.23512,0.16553,0.82007,0.99997,1,0.995,0.9949,0.12229,0.09772,0.79351,0.004852,0.004852,0.004852
28,1029.53,0.23336,0.16302,0.82039,0.99997,1,0.995,0.99489,0.12317,0.09738,0.7975,0.004654,0.004654,0.004654
29,1066.03,0.22698,0.16069,0.81928,0.99997,1,0.995,0.99489,0.11635,0.09531,0.78778,0.004456,0.004456,0.004456
30,1102.64,0.22518,0.15767,0.81734,0.99997,1,0.995,0.99483,0.11555,0.09227,0.79149,0.004258,0.004258,0.004258
31,1139.22,0.21739,0.15436,0.8159,0.99997,1,0.995,0.99499,0.11287,0.08691,0.78839,0.00406,0.00406,0.00406
32,1175.86,0.21833,0.15429,0.8166,0.99997,1,0.995,0.99496,0.11566,0.09191,0.78898,0.003862,0.003862,0.003862
33,1212.48,0.21355,0.15237,0.81549,0.99997,1,0.995,0.99497,0.11111,0.09039,0.78641,0.003664,0.003664,0.003664
34,1249.15,0.20706,0.14756,0.81416,0.99997,1,0.995,0.99497,0.10889,0.08503,0.78804,0.003466,0.003466,0.003466
